average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
212.6,0.95,58%,151.1,0.75,0.18,0.14,0.17,29%,27%
181.5,0.90,71%,118.7,0.64,0.29,0.08,0.08,19%,13%
209.0,0.78,57%,137.7,0.68,0.05,0.16,0.08,20%,9%
186.2,0.94,73%,126.4,0.67,0.32,0.09,0.07,32%,10%
186.2,0.95,66%,129.4,0.70,0.18,0.09,0.09,27%,11%
174.8,0.81,59%,121.0,0.61,0.19,0.08,0.13,27%,11%
200.5,0.98,67%,139.7,0.71,0.23,0.06,0.08,28%,14%
203.6,0.86,65%,134.6,0.71,0.10,0.14,0.24,28%,7%
125.0,0.57,71%,99.3,0.43,0.32,0.00,0.04,30%,25%
273.9,1.50,75%,174.1,1.00,0.17,0.23,0.14,39%,15%
225.2,1.31,75%,146.7,0.79,0.39,0.08,0.07,36%,16%
188.7,1.22,78%,122.8,0.70,0.36,0.07,0.07,40%,28%
201.1,1.12,76%,134.1,0.70,0.42,0.08,0.08,26%,18%
195.7,1.08,72%,130.5,0.69,0.23,0.10,0.08,28%,18%
181.1,0.82,67%,120.8,0.64,0.23,0.04,0.07,29%,20%
174.4,0.76,66%,113.3,0.60,0.27,0.07,0.09,30%,10%
167.8,0.73,66%,110.7,0.59,0.31,0.04,0.09,25%,12%
222.5,0.84,59%,156.4,0.67,0.21,0.15,0.21,24%,
185.0,0.81,69%,114.6,0.64,0.31,0.15,0.13,24%,20%
151.0,0.58,69%,95.4,0.46,0.36,0.05,0.08,25%,
141.7,0.57,52%,93.2,0.51,0.13,0.13,0.24,20%,33%
159.4,0.76,69%,106.4,0.56,0.36,0.04,0.03,22%,24%
227.1,1.13,74%,153.4,0.80,0.33,0.08,0.06,32%,11%
208.8,1.06,70%,138.4,0.74,0.21,0.11,0.09,44%,13%
197.5,1.01,73%,130.3,0.71,0.33,0.07,0.08,29%,21%
227.5,0.99,68%,149.5,0.77,0.20,0.20,0.19,21%,28%
171.0,0.88,73%,112.6,0.61,0.39,0.06,0.07,35%,17%
275.0,1.11,82%,177.8,0.91,0.41,0.05,0.00,46%,25%
193.6,0.95,67%,132.7,0.69,0.19,0.07,0.07,30%,12%
188.6,0.90,68%,130.6,0.66,0.20,0.09,0.06,29%,6%
226.0,0.94,67%,145.5,0.77,0.18,0.19,0.26,30%,25%
190.5,0.84,78%,121.2,0.67,0.35,0.11,0.11,30%,17%
193.9,0.87,67%,119.9,0.69,0.24,0.09,0.14,31%,10%
138.0,0.57,72%,100.1,0.46,0.37,0.13,0.04,23%,
142.3,0.66,62%,101.1,0.51,0.28,0.05,0.09,40%,15%
230.2,0.96,62%,150.9,0.79,0.26,0.15,0.25,42%,17%
203.1,0.85,64%,138.7,0.68,0.22,0.08,0.05,34%,7%
179.7,0.80,59%,119.9,0.65,0.11,0.11,0.14,22%,16%
162.3,0.70,63%,114.7,0.55,0.24,0.04,0.11,27%,9%
151.4,0.71,63%,102.1,0.54,0.25,0.05,0.09,23%,7%
141.0,0.53,47%,94.0,0.47,0.15,0.03,0.12,22%,
211.4,1.11,67%,140.3,0.74,0.33,0.11,0.10,31%,27%
185.0,1.08,72%,128.3,0.69,0.19,0.08,0.11,25%,13%
176.3,0.91,71%,116.2,0.63,0.36,0.05,0.07,33%,18%
179.6,0.91,72%,116.5,0.63,0.38,0.06,0.08,25%,16%
175.4,0.83,66%,117.0,0.63,0.13,0.09,0.09,44%,9%
214.0,1.00,67%,139.6,0.78,0.16,0.05,0.09,33%,9%
153.5,0.62,57%,102.3,0.52,0.17,0.17,0.22,24%,
176.0,1.04,79%,113.5,0.71,0.47,0.05,0.08,18%,8%
247.6,1.20,65%,168.0,0.89,0.19,0.15,0.12,35%,23%
175.1,0.70,68%,117.7,0.56,0.39,0.09,0.11,25%,12%
134.8,0.68,78%,85.2,0.47,0.43,0.03,0.02,17%,18%
166.3,0.68,64%,109.3,0.57,0.34,0.05,0.11,28%,3%
162.8,0.66,66%,104.1,0.54,0.29,0.03,0.06,26%,3%
111.2,0.46,55%,81.9,0.38,0.18,0.02,0.13,31%,14%
200.5,1.07,65%,130.7,0.74,0.33,0.02,0.09,37%,
180.5,0.93,74%,135.2,0.63,0.37,0.07,0.07,25%,
153.0,0.76,60%,98.8,0.58,0.19,0.05,0.12,37%,
166.0,0.65,53%,109.1,0.51,0.19,0.09,0.23,34%,
185.8,0.75,68%,112.1,0.64,0.28,0.09,0.04,40%,6%
172.5,0.67,50%,118.3,0.63,0.06,0.06,0.06,28%,
183.5,0.69,50%,108.7,0.63,0.09,0.06,0.09,27%,
108.0,0.45,59%,67.4,0.36,0.15,0.03,0.15,39%,
198.0,1.15,83%,126.4,0.76,0.46,0.05,0.02,28%,
226.2,1.00,64%,154.0,0.73,0.29,0.07,0.07,16%,10%
188.3,0.88,63%,135.8,0.67,0.19,0.08,0.05,23%,20%
192.1,0.94,65%,122.0,0.66,0.24,0.07,0.05,22%,19%
171.3,0.73,68%,111.6,0.57,0.25,0.18,0.13,21%,5%
168.0,0.64,68%,124.9,0.52,0.24,0.08,0.09,23%,5%
158.7,0.77,57%,106.6,0.62,0.11,0.05,0.22,20%,25%
141.6,0.59,64%,96.7,0.45,0.29,0.05,0.08,24%,6%
203.9,0.97,69%,140.8,0.70,0.38,0.07,0.09,31%,27%
157.5,0.57,56%,108.7,0.49,0.23,0.15,0.23,24%,
99.5,0.38,46%,76.3,0.31,0.11,0.03,0.06,16%,14%
240.2,1.05,68%,158.6,0.83,0.16,0.21,0.19,22%,11%
201.7,0.98,71%,131.2,0.71,0.35,0.08,0.07,27%,16%
180.4,0.86,71%,116.7,0.62,0.31,0.04,0.08,19%,16%
191.8,0.90,65%,126.6,0.67,0.29,0.08,0.10,27%,14%
147.6,0.66,61%,100.1,0.50,0.29,0.04,0.12,22%,16%
155.0,0.59,58%,107.1,0.47,0.17,0.08,0.06,18%,
206.3,1.09,72%,139.1,0.73,0.33,0.08,0.08,34%,15%
234.6,1.07,68%,160.3,0.81,0.17,0.07,0.11,36%,5%
213.3,1.05,75%,140.2,0.73,0.34,0.09,0.06,38%,15%
198.1,0.88,68%,139.3,0.68,0.17,0.17,0.18,27%,6%
160.8,0.82,70%,102.0,0.57,0.26,0.04,0.11,28%,7%
183.6,0.76,63%,121.9,0.61,0.23,0.12,0.12,19%,5%
226.5,0.81,72%,143.9,0.76,0.07,0.10,0.10,25%,
138.0,0.52,52%,90.4,0.48,0.10,0.07,0.14,29%,
130.5,0.37,52%,85.3,0.34,0.28,0.03,0.10,29%,
238.0,1.20,79%,152.9,0.86,0.36,0.14,0.07,32%,40%
235.0,1.00,79%,148.8,0.79,0.43,0.14,0.07,19%,
170.6,0.78,67%,112.3,0.63,0.40,0.03,0.09,27%,4%
168.2,0.76,70%,112.0,0.57,0.31,0.04,0.05,24%,3%
134.5,0.63,57%,82.8,0.46,0.32,0.00,0.00,15%,13%
183.0,0.70,64%,123.1,0.58,0.14,0.11,0.22,24%,
209.7,1.12,70%,137.0,0.75,0.31,0.08,0.08,33%,16%
224.4,1.05,65%,145.2,0.79,0.16,0.18,0.21,23%,19%
187.5,0.92,71%,123.8,0.65,0.33,0.08,0.08,35%,11%
183.4,0.91,71%,122.3,0.64,0.31,0.06,0.07,31%,16%
185.2,0.97,68%,124.9,0.67,0.18,0.09,0.09,36%,14%
172.8,0.86,71%,114.9,0.60,0.29,0.06,0.08,30%,17%
214.0,1.29,76%,142.0,0.78,0.35,0.09,0.07,29%,14%
220.9,1.17,78%,143.7,0.76,0.33,0.09,0.07,26%,11%
202.4,1.09,70%,136.5,0.73,0.20,0.07,0.07,28%,13%
217.6,0.97,66%,143.7,0.75,0.20,0.19,0.19,31%,19%
207.6,1.17,74%,135.5,0.74,0.38,0.08,0.08,31%,21%
254.0,1.20,71%,164.2,0.89,0.16,0.19,0.16,28%,14%
213.6,1.07,74%,139.9,0.74,0.40,0.11,0.11,40%,15%
188.8,0.94,69%,128.0,0.67,0.22,0.09,0.08,29%,16%
166.5,0.85,68%,113.9,0.59,0.28,0.07,0.09,28%,27%
200.7,0.95,68%,135.5,0.71,0.24,0.09,0.08,25%,9%
171.9,0.83,63%,116.7,0.60,0.16,0.07,0.13,28%,7%
152.5,0.68,57%,103.9,0.54,0.14,0.09,0.14,24%,22%
214.3,1.06,78%,142.2,0.72,0.43,0.12,0.06,30%,20%
209.7,1.06,74%,133.8,0.74,0.16,0.10,0.09,28%,
197.7,0.86,67%,127.7,0.67,0.33,0.09,0.05,26%,14%
170.8,0.69,65%,120.8,0.57,0.25,0.06,0.08,22%,9%
182.7,0.85,72%,117.4,0.64,0.39,0.07,0.09,27%,21%
174.3,0.80,71%,112.8,0.61,0.46,0.06,0.08,28%,21%
101.5,0.43,53%,66.9,0.34,0.29,0.03,0.18,37%,33%
202.6,1.13,76%,130.6,0.69,0.46,0.07,0.07,21%,24%
213.9,1.16,74%,143.2,0.78,0.22,0.10,0.07,32%,10%
252.4,1.17,71%,158.7,0.88,0.15,0.24,0.19,27%,15%
253.0,1.14,72%,160.1,0.88,0.20,0.23,0.16,26%,13%
176.0,0.94,72%,113.0,0.61,0.33,0.07,0.09,24%,14%
170.8,0.73,59%,114.2,0.58,0.16,0.06,0.08,19%,13%
169.7,0.83,69%,115.2,0.62,0.27,0.07,0.11,32%,11%
240.9,1.26,74%,164.1,0.82,0.39,0.07,0.04,27%,10%
232.5,1.52,71%,151.2,0.91,0.22,0.11,0.09,36%,
213.8,1.17,75%,143.7,0.76,0.30,0.09,0.05,31%,14%
177.8,1.01,77%,115.0,0.63,0.41,0.06,0.08,21%,18%
204.7,1.02,72%,134.6,0.72,0.37,0.12,0.11,31%,11%
166.3,0.71,69%,105.5,0.56,0.43,0.08,0.12,27%,
217.5,1.13,77%,145.9,0.75,0.45,0.10,0.09,24%,18%
247.1,1.18,73%,159.8,0.84,0.21,0.19,0.16,18%,17%
200.9,1.18,75%,137.5,0.72,0.24,0.08,0.07,23%,16%
203.0,1.10,76%,131.3,0.72,0.40,0.08,0.07,21%,11%
203.2,1.05,78%,130.0,0.72,0.42,0.10,0.08,26%,16%
157.1,0.68,65%,103.6,0.51,0.37,0.05,0.09,22%,9%
116.8,0.55,58%,76.2,0.46,0.07,0.04,0.11,28%,8%
195.0,0.91,64%,126.1,0.69,0.28,0.09,0.09,24%,7%
160.8,0.71,74%,114.3,0.55,0.30,0.07,0.09,20%,6%
113.5,0.58,54%,72.3,0.44,0.15,0.02,0.10,41%,33%
165.0,0.78,62%,109.1,0.59,0.33,0.05,0.14,27%,10%
178.3,0.89,64%,134.1,0.66,0.15,0.07,0.06,26%,
190.0,0.91,69%,125.6,0.67,0.18,0.04,0.02,12%,7%
207.3,0.81,70%,143.5,0.64,0.38,0.07,0.09,20%,14%
216.4,1.01,68%,143.6,0.76,0.22,0.14,0.13,29%,14%
185.9,0.93,72%,122.1,0.65,0.38,0.04,0.05,27%,15%
206.2,1.02,74%,134.4,0.71,0.37,0.10,0.09,22%,11%
174.8,0.87,72%,111.8,0.60,0.30,0.04,0.05,22%,10%
194.4,0.93,70%,127.6,0.67,0.33,0.08,0.06,27%,13%
184.9,1.02,70%,130.6,0.68,0.19,0.06,0.06,34%,16%
223.1,0.97,65%,148.4,0.76,0.18,0.17,0.19,24%,14%
182.9,0.92,74%,116.8,0.63,0.37,0.07,0.08,29%,14%
185.6,0.92,69%,123.2,0.64,0.35,0.08,0.12,22%,13%
210.4,1.02,70%,139.2,0.74,0.33,0.11,0.13,26%,14%
202.8,0.95,68%,138.7,0.70,0.29,0.07,0.08,26%,23%
198.3,0.93,68%,131.1,0.72,0.23,0.08,0.12,35%,15%
202.3,0.78,64%,138.2,0.67,0.20,0.15,0.23,20%,17%
144.0,0.55,60%,97.4,0.45,0.27,0.04,0.09,22%,7%
257.5,1.11,71%,164.1,0.90,0.20,0.22,0.15,32%,
224.0,1.00,65%,134.7,0.78,0.43,0.16,0.11,29%,
217.0,0.94,60%,134.0,0.74,0.29,0.12,0.10,26%,
105.5,0.31,51%,77.9,0.28,0.41,0.03,0.15,23%,
212.4,1.43,77%,140.8,0.77,0.25,0.10,0.05,22%,15%
225.7,1.27,78%,146.0,0.79,0.36,0.10,0.06,27%,10%
188.0,0.76,65%,127.7,0.63,0.33,0.10,0.10,31%,13%
179.4,0.84,69%,119.7,0.62,0.37,0.06,0.07,28%,13%
228.3,1.01,71%,139.1,0.77,0.46,0.09,0.11,13%,11%
158.8,0.89,73%,110.1,0.58,0.27,0.07,0.12,25%,7%
154.0,0.74,68%,101.5,0.49,0.36,0.04,0.11,26%,
178.0,0.84,68%,119.3,0.61,0.36,0.04,0.05,24%,13%
208.6,0.98,68%,138.4,0.73,0.19,0.12,0.14,24%,17%
180.2,0.99,73%,118.8,0.64,0.34,0.08,0.06,28%,9%
223.6,1.03,71%,148.6,0.75,0.25,0.10,0.07,40%,7%
128.5,0.52,61%,95.8,0.42,0.21,0.05,0.11,24%,
236.3,1.23,69%,158.5,0.87,0.14,0.13,0.06,23%,
203.0,1.05,76%,135.0,0.74,0.33,0.06,0.08,24%,22%
177.0,0.65,81%,126.5,0.54,0.46,0.05,0.08,33%,
236.7,0.97,,148.8,0.74,0.34,0.12,0.17,,
177.8,0.84,,117.1,0.62,0.39,0.06,0.10,,
190.7,1.01,,122.8,0.71,0.18,0.07,0.10,,
198.1,0.94,,136.8,0.70,0.24,0.13,0.14,,
156.4,0.76,,105.1,0.54,0.40,0.03,0.07,,
215.8,1.03,67%,142.0,0.77,0.19,0.11,0.14,29%,31%
186.3,0.94,80%,129.3,0.71,0.39,0.06,0.07,52%,
214.9,1.12,72%,145.2,0.80,0.19,0.08,0.10,31%,17%
210.9,1.04,68%,136.3,0.73,0.20,0.18,0.16,24%,31%
180.1,0.92,71%,123.2,0.63,0.32,0.07,0.06,27%,18%
187.6,0.93,63%,133.3,0.68,0.17,0.07,0.09,41%,16%
185.6,0.85,69%,118.2,0.65,0.39,0.07,0.06,29%,3%
172.6,0.82,70%,115.2,0.61,0.27,0.11,0.07,27%,21%
199.1,1.19,73%,137.6,0.70,0.30,0.06,0.05,23%,15%
239.0,1.20,70%,159.8,0.84,0.18,0.19,0.16,25%,19%
209.3,1.17,71%,141.6,0.77,0.17,0.10,0.08,33%,14%
186.1,1.01,73%,120.6,0.67,0.38,0.06,0.07,22%,17%
158.5,0.79,66%,104.1,0.56,0.23,0.09,0.13,27%,11%
210.0,1.13,73%,137.0,0.77,0.29,0.09,0.10,33%,12%
203.5,0.98,71%,135.7,0.70,0.32,0.12,0.11,22%,11%
184.9,1.00,68%,127.1,0.67,0.22,0.08,0.09,32%,9%
147.6,0.73,68%,100.9,0.52,0.28,0.04,0.06,27%,9%
99.3,0.50,54%,69.2,0.39,0.08,0.02,0.10,29%,
180.5,0.71,72%,125.5,0.56,0.44,0.00,0.05,23%,
217.7,1.04,73%,144.0,0.80,0.20,0.09,0.17,42%,20%
197.0,0.76,72%,132.7,0.61,0.36,0.06,0.06,17%,25%
174.3,0.86,67%,116.0,0.65,0.16,0.08,0.08,24%,9%
180.4,0.77,65%,112.2,0.61,0.31,0.04,0.08,31%,9%
144.0,0.60,62%,96.7,0.47,0.33,0.03,0.08,9%,20%
170.5,0.69,58%,120.2,0.59,0.19,0.15,0.15,36%,19%
186.2,0.92,67%,122.6,0.66,0.28,0.08,0.09,33%,15%
196.0,0.80,74%,128.6,0.63,0.21,0.05,0.16,23%,
131.5,0.45,43%,93.6,0.43,0.20,0.14,0.49,30%,
152.6,0.64,59%,101.7,0.52,0.23,0.05,0.10,29%,7%
224.1,1.00,71%,151.1,0.77,0.22,0.17,0.20,13%,24%
185.1,0.83,69%,122.4,0.64,0.39,0.10,0.11,26%,11%
185.0,0.80,69%,127.2,0.63,0.30,0.08,0.08,23%,9%
193.6,0.88,64%,132.1,0.69,0.17,0.12,0.15,20%,13%
220.6,1.05,66%,141.1,0.77,0.18,0.13,0.14,24%,14%
155.3,0.86,78%,107.2,0.56,0.39,0.09,0.04,26%,11%
145.1,0.62,63%,95.4,0.48,0.30,0.03,0.05,35%,12%
158.5,0.65,65%,115.9,0.54,0.38,0.05,0.05,26%,
136.5,0.50,57%,101.8,0.43,0.19,0.11,0.30,18%,
169.4,0.74,67%,111.3,0.58,0.30,0.08,0.09,26%,4%
187.0,0.62,63%,119.9,0.55,0.29,0.08,0.08,22%,10%
244.5,1.15,81%,158.4,0.90,0.24,0.07,0.05,27%,40%
159.7,0.84,72%,111.9,0.57,0.24,0.07,0.06,22%,11%
142.3,0.58,55%,95.1,0.48,0.24,0.03,0.08,28%,8%
187.0,1.05,76%,123.6,0.65,0.39,0.06,0.06,26%,10%
217.1,0.95,66%,141.4,0.74,0.18,0.13,0.15,29%,10%
224.8,1.13,74%,148.7,0.76,0.22,0.14,0.13,19%,13%
209.0,0.99,72%,143.4,0.73,0.29,0.12,0.10,24%,16%
213.1,0.95,61%,140.2,0.73,0.21,0.19,0.14,26%,21%
187.2,0.91,74%,123.6,0.65,0.42,0.07,0.06,28%,16%
192.5,0.91,73%,126.3,0.67,0.36,0.07,0.08,32%,11%
178.3,0.83,68%,124.2,0.59,0.25,0.06,0.07,26%,17%
165.0,0.75,60%,114.3,0.59,0.14,0.07,0.09,32%,16%
207.0,0.91,63%,128.2,0.76,0.28,0.16,0.14,29%,
222.6,1.12,78%,154.4,0.82,0.29,0.10,0.03,50%,
256.7,1.18,66%,165.2,0.89,0.23,0.15,0.23,21%,25%
207.7,0.98,68%,141.1,0.67,0.25,0.08,0.08,30%,14%
203.4,1.00,74%,131.4,0.68,0.28,0.08,0.10,29%,14%
175.8,0.85,80%,112.8,0.60,0.43,0.08,0.03,30%,
179.0,0.79,68%,113.3,0.62,0.28,0.09,0.15,37%,28%
188.3,0.83,67%,121.6,0.66,0.21,0.09,0.11,25%,
208.0,0.89,64%,150.2,0.74,0.23,0.09,0.09,41%,8%
181.5,0.85,67%,119.8,0.64,0.29,0.08,0.11,34%,16%
159.0,0.76,65%,107.8,0.55,0.30,0.05,0.10,27%,9%
172.0,0.78,66%,108.9,0.60,0.37,0.08,0.10,22%,5%
206.0,0.94,63%,141.6,0.71,0.11,0.06,0.09,23%,8%
179.8,0.91,70%,115.6,0.65,0.32,0.05,0.06,30%,16%
174.0,0.74,74%,119.2,0.61,0.42,0.16,0.03,33%,50%
173.8,0.69,50%,124.1,0.58,0.15,0.08,0.27,22%,
183.0,0.71,59%,124.1,0.59,0.32,0.12,0.09,28%,25%
205.4,1.19,72%,138.7,0.76,0.18,0.08,0.06,38%,20%
243.3,1.13,69%,153.9,0.83,0.18,0.21,0.20,25%,17%
202.5,1.10,73%,132.8,0.74,0.31,0.08,0.10,32%,19%
176.7,0.95,72%,119.3,0.61,0.37,0.06,0.06,22%,15%
174.5,0.88,70%,118.2,0.61,0.37,0.06,0.08,27%,12%
187.0,0.61,62%,114.3,0.59,0.07,0.17,0.17,20%,
158.1,0.79,67%,101.4,0.57,0.32,0.06,0.08,37%,17%
186.0,1.00,68%,128.2,0.68,0.18,0.09,0.12,33%,
181.0,0.75,71%,118.4,0.62,0.38,0.03,0.09,28%,
167.2,0.81,68%,112.3,0.59,0.22,0.05,0.09,29%,15%
164.5,0.60,56%,108.3,0.51,0.18,0.06,0.19,22%,
193.9,1.11,74%,130.0,0.70,0.36,0.06,0.06,27%,7%
245.5,1.06,67%,166.6,0.84,0.19,0.19,0.16,24%,15%
224.0,1.09,64%,146.0,0.80,0.10,0.15,0.16,23%,
188.4,1.08,77%,118.6,0.73,0.14,0.13,0.13,24%,17%
195.3,0.94,70%,129.4,0.67,0.35,0.11,0.11,28%,15%
210.7,0.98,66%,142.7,0.72,0.19,0.16,0.18,26%,18%
170.9,0.82,72%,110.3,0.56,0.44,0.07,0.09,17%,12%
143.3,0.80,71%,98.5,0.56,0.32,0.02,0.14,39%,43%
199.0,0.93,69%,134.7,0.71,0.19,0.08,0.08,30%,5%
150.8,0.54,55%,97.4,0.51,0.11,0.15,0.28,25%,
192.5,0.74,54%,124.8,0.66,0.09,0.23,0.14,19%,
154.1,0.69,68%,101.6,0.52,0.41,0.07,0.12,24%,12%
180.5,0.67,74%,116.5,0.57,0.20,0.20,0.11,25%,
111.0,0.50,60%,72.7,0.43,0.23,0.03,0.09,35%,7%
287.5,1.34,77%,187.2,1.00,0.28,0.16,0.05,42%,18%
190.0,0.82,70%,124.6,0.65,0.23,0.09,0.09,24%,17%
198.5,0.82,56%,125.2,0.68,0.21,0.03,0.09,20%,
207.0,0.79,64%,146.7,0.65,0.24,0.08,0.15,14%,9%
199.8,0.78,59%,125.7,0.63,0.42,0.04,0.16,21%,17%
171.7,0.83,63%,109.2,0.61,0.03,0.13,0.18,17%,7%
176.4,0.63,64%,112.0,0.55,0.34,0.08,0.10,25%,
142.0,0.63,45%,101.5,0.53,0.15,0.05,0.09,27%,15%
173.8,0.80,69%,116.6,0.61,0.37,0.10,0.09,27%,11%
170.5,0.62,55%,110.3,0.50,0.38,0.05,0.05,21%,17%
286.0,1.23,72%,185.9,1.02,0.16,0.24,0.16,38%,6%
252.9,1.28,,164.8,0.91,0.17,0.10,0.13,,
217.6,1.15,74%,140.9,0.77,0.30,0.10,0.07,28%,18%
216.8,1.18,75%,148.0,0.78,0.29,0.07,0.06,38%,12%
250.9,1.17,71%,163.2,0.86,0.21,0.20,0.18,20%,14%
220.6,1.14,72%,142.8,0.78,0.23,0.17,0.15,22%,18%
192.6,1.08,73%,127.9,0.68,0.31,0.07,0.06,27%,19%
204.3,0.99,77%,130.0,0.68,0.44,0.05,0.09,25%,16%
165.1,0.82,69%,105.9,0.57,0.34,0.07,0.10,27%,10%
255.9,1.35,74%,165.4,0.94,0.19,0.22,0.15,32%,24%
230.8,1.34,78%,147.4,0.82,0.36,0.11,0.08,29%,20%
194.3,1.20,79%,131.1,0.70,0.33,0.06,0.05,30%,22%
206.9,1.13,74%,139.6,0.75,0.32,0.09,0.10,34%,17%
173.1,0.92,74%,115.5,0.59,0.46,0.07,0.07,23%,20%
154.0,0.65,57%,98.9,0.49,0.19,0.09,0.08,22%,9%
253.0,1.14,64%,168.1,0.82,0.21,0.23,0.31,23%,29%
149.5,0.50,72%,96.3,0.44,0.36,0.03,0.08,10%,
177.5,0.79,63%,123.5,0.63,0.21,0.06,0.11,35%,13%
150.7,0.68,67%,103.1,0.51,0.26,0.06,0.08,29%,9%
190.5,0.84,74%,126.8,0.68,0.39,0.00,0.03,32%,
190.5,0.83,55%,116.3,0.66,0.05,0.11,0.05,27%,10%
183.5,0.84,54%,124.0,0.66,0.10,0.17,0.24,18%,
180.0,0.84,55%,117.6,0.68,0.11,0.11,0.16,16%,
173.5,0.76,71%,120.8,0.61,0.27,0.05,0.00,31%,
158.0,0.54,53%,102.7,0.50,0.16,0.11,0.24,31%,
230.1,1.12,68%,148.8,0.82,0.13,0.22,0.20,27%,5%
175.3,0.96,74%,114.3,0.63,0.30,0.08,0.05,25%,17%
220.9,0.97,68%,145.3,0.76,0.17,0.18,0.20,29%,8%
189.6,0.97,74%,127.9,0.66,0.23,0.09,0.08,24%,9%
167.9,0.85,72%,115.3,0.59,0.24,0.06,0.08,37%,12%
174.1,0.83,71%,114.6,0.59,0.32,0.08,0.09,31%,8%
165.8,0.82,70%,104.7,0.59,0.33,0.08,0.11,36%,7%
119.5,0.52,48%,73.0,0.42,0.12,0.09,0.15,36%,
219.5,1.13,74%,144.6,0.86,0.45,0.07,0.10,34%,30%
202.5,0.91,63%,129.3,0.71,0.41,0.10,0.10,23%,
170.3,0.74,56%,118.1,0.59,0.06,0.11,0.15,26%,13%
198.5,0.68,76%,133.5,0.62,0.43,0.11,0.08,19%,50%
148.0,0.57,55%,94.9,0.45,0.42,0.03,0.11,37%,
115.0,0.50,50%,90.8,0.37,0.05,0.03,0.13,20%,
171.4,0.80,59%,117.8,0.61,0.19,0.06,0.10,41%,
223.5,1.11,73%,150.3,0.78,0.29,0.15,0.13,28%,16%
168.7,0.97,74%,116.7,0.63,0.31,0.04,0.07,30%,13%
210.2,0.99,74%,137.3,0.72,0.37,0.08,0.09,28%,13%
182.9,1.00,73%,122.3,0.65,0.33,0.04,0.07,22%,12%
187.8,0.94,67%,125.7,0.67,0.24,0.08,0.11,31%,16%
166.0,0.67,62%,113.5,0.54,0.43,0.07,0.13,19%,40%
195.6,0.92,68%,132.2,0.70,0.29,0.07,0.10,30%,13%
217.1,1.08,64%,143.3,0.75,0.24,0.09,0.05,31%,18%
261.6,1.33,73%,167.0,0.93,0.16,0.21,0.15,28%,14%
260.1,1.20,70%,170.4,0.91,0.17,0.20,0.17,29%,19%
199.8,1.06,77%,134.9,0.69,0.46,0.06,0.06,26%,13%
188.7,0.88,71%,123.4,0.63,0.37,0.05,0.05,26%,5%
193.4,0.85,68%,121.6,0.67,0.32,0.11,0.09,38%,11%
199.9,0.91,67%,120.1,0.69,0.21,0.13,0.13,28%,8%
181.8,0.91,66%,122.9,0.64,0.17,0.09,0.09,32%,11%
150.9,0.81,70%,105.3,0.54,0.26,0.03,0.03,35%,17%
165.7,0.77,68%,104.7,0.56,0.39,0.06,0.10,26%,7%
195.2,0.81,66%,126.0,0.65,0.18,0.16,0.17,28%,17%
186.3,0.99,74%,122.6,0.64,0.36,0.07,0.09,20%,19%
197.8,0.84,61%,131.6,0.68,0.18,0.10,0.13,28%,13%
125.7,0.55,65%,91.2,0.43,0.25,0.01,0.06,21%,25%
89.0,0.38,55%,66.6,0.33,0.30,0.03,0.13,25%,
193.5,0.97,72%,127.0,0.68,0.28,0.07,0.07,28%,15%
154.4,0.79,72%,101.8,0.54,0.44,0.05,0.08,31%,12%
217.7,1.04,76%,150.5,0.74,0.34,0.14,0.11,30%,25%
188.7,1.01,72%,128.9,0.68,0.29,0.06,0.09,25%,17%
189.9,0.78,70%,126.5,0.63,0.22,0.11,0.12,17%,
186.0,0.80,65%,119.2,0.63,0.32,0.08,0.10,24%,9%
110.0,0.41,49%,77.3,0.34,0.14,0.00,0.06,20%,
200.0,0.96,71%,132.4,0.65,0.29,0.05,0.06,31%,19%
185.0,0.90,65%,119.3,0.63,0.23,0.08,0.06,24%,26%
149.2,0.66,66%,95.9,0.51,0.28,0.07,0.10,25%,11%
256.5,1.27,58%,166.1,1.00,0.06,0.03,0.18,42%,17%
195.5,0.69,63%,125.9,0.63,0.16,0.19,0.06,27%,8%
87.5,0.28,53%,63.9,0.25,0.31,0.00,0.09,18%,25%
159.0,0.56,80%,100.2,0.50,0.15,0.15,0.10,21%,
175.8,0.88,76%,121.9,0.63,0.31,0.06,0.07,25%,11%
176.5,0.61,63%,119.2,0.53,0.44,0.06,0.06,28%,9%
139.0,0.61,55%,96.3,0.45,0.32,0.08,0.03,32%,
125.0,0.55,47%,83.0,0.44,0.11,0.03,0.03,22%,50%
197.5,0.70,55%,133.1,0.61,0.16,0.03,0.16,21%,
216.5,0.84,57%,147.5,0.74,0.03,0.26,0.14,22%,
198.6,0.93,70%,135.9,0.69,0.27,0.09,0.08,34%,11%
206.9,1.00,65%,135.1,0.76,0.14,0.15,0.17,24%,12%
178.7,0.78,71%,122.7,0.58,0.46,0.05,0.08,20%,16%
173.1,0.88,66%,118.7,0.62,0.20,0.06,0.07,24%,7%
192.8,0.86,66%,134.8,0.68,0.30,0.08,0.08,33%,6%
162.2,0.76,75%,107.8,0.57,0.48,0.06,0.06,20%,14%
180.0,0.76,68%,121.0,0.59,0.23,0.07,0.05,33%,
174.2,0.77,61%,126.1,0.62,0.21,0.08,0.09,28%,7%
215.0,0.93,71%,140.6,0.74,0.24,0.08,0.16,23%,
130.5,0.60,65%,87.7,0.49,0.32,0.00,0.00,22%,
