playerName,team,rating,region,playerCategory,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,agent_1,agent_2,agent_3
smalls,(+1),0.88,Americas,vct-challengers,181.8,0.87,66%,122.3,0.66,0.14,0.07,0.09,37%,3%,cypher,chamber,sage
Smexyy,68,0.57,Pacific,vct-challengers,150.8,0.52,44%,103.5,0.49,0.13,0.07,0.16,27%,,viper,killjoy,cypher
Smiley,24,0.73,Pacific,vct-challengers,155.0,0.71,67%,106.2,0.50,0.29,0.08,0.08,21%,,omen,,
smiley,AMB,01.03,Americas,vct-challengers,188.3,01.01,73%,121.3,0.65,0.43,0.07,0.09,31%,22%,omen,breach,kayo
Smisek,29,0.19,Americas,vct-challengers,61.5,0.14,34%,47.8,0.14,0.21,0.03,0.24,7%,14%,viper,,
Smoggy,EDG,1.11,China,vct-international,207.1,1.16,75%,136.0,0.74,0.36,0.08,0.07,28%,14%,kayo,raze,breach
SmokeA,Whoo,1.31,Pacific,vct-challengers,249.2,1.35,77%,166.7,0.93,0.23,0.13,0.07,29%,13%,sova,yoru,chamber
smolbananya,(+1),0.43,Americas,vct-game-changer,109.5,0.41,43%,70.3,0.37,0.24,0.08,0.11,23%,33%,gekko,killjoy,cypher
smudghe,TSY,0.84,Pacific,vct-challengers,142.3,0.73,54%,95.5,0.52,0.11,0.03,0.03,28%,14%,sage,cypher,fade
Smurfette,GX.GC,01.06,EMEA,vct-game-changer,237.0,1.14,70%,155.3,0.84,0.16,0.21,0.17,27%,17%,jett,raze,neon
sn0wFlake,RA,,China,vct-challengers,138.3,0.64,,91.1,0.46,0.38,0.06,0.06,,,omen,brimstone,
snackbox,39,0.83,Americas,vct-challengers,175.0,0.77,69%,112.8,0.59,0.15,0.05,0.03,28%,18%,breach,sova,
Snackicals,Eros,0.89,Americas,vct-challengers,197.5,0.70,55%,133.1,0.61,0.16,0.03,0.16,21%,,sova,jett,
Snackz,38,0.64,Americas,vct-challengers,182.0,0.66,58%,117.5,0.61,0.21,0.21,0.11,16%,,yoru,raze,
Snail,KBG,,China,vct-challengers,152.0,0.73,,103.7,0.59,0.15,0.02,0.07,,,sova,fade,
SnapeFPS,34,0.87,Pacific,vct-challengers,237.0,0.97,74%,139.2,0.85,0.26,0.09,0.09,29%,,breach,fade,
SnapS,Boos,0.60,EMEA,vct-challengers,113.5,0.58,54%,72.3,0.44,0.15,0.02,0.10,41%,33%,cypher,,
Snaptor,AXL,0.73,EMEA,vct-challengers,168.0,0.64,68%,124.9,0.52,0.24,0.08,0.09,23%,5%,sova,reyna,
Snark,EvHz,0.99,Americas,vct-challengers,215.0,0.93,71%,140.6,0.74,0.24,0.08,0.16,23%,,kayo,viper,
snarly,QOR,0.89,Americas,vct-challengers,172.3,0.86,70%,115.1,0.61,0.36,0.08,0.10,32%,21%,skye,kayo,chamber
snikk,Z10,1.00,EMEA,vct-challengers,191.7,0.97,72%,130.1,0.68,0.30,0.06,0.07,35%,14%,skye,sova,gekko
SNIPST,Unkn,0.84,Pacific,vct-challengers,176.0,0.86,64%,118.3,0.68,0.07,0.04,0.07,31%,,cypher,,
snirot,NSIC,0.99,Americas,vct-challengers,187.8,0.92,69%,126.9,0.67,0.35,0.06,0.10,25%,21%,kayo,breach,skye
Snowi,OF,01.02,EMEA,vct-challengers,183.5,0.95,73%,121.6,0.65,0.44,0.05,0.06,26%,19%,breach,kayo,sage
Snowy,38,1.12,Americas,vct-game-changer,244.5,1.00,68%,165.3,0.82,0.26,0.11,0.08,30%,,jett,raze,
sociablEE,BBL,1.12,EMEA,vct-challengers,220.9,1.17,78%,143.7,0.76,0.33,0.09,0.07,26%,11%,yoru,raze,omen
socools0da,THA,01.02,Pacific,vct-challengers,203.1,01.03,72%,133.8,0.73,0.31,0.08,0.10,34%,16%,sova,fade,skye
sofia,PXU.GC,0.76,EMEA,vct-game-changer,151.9,0.68,61%,94.4,0.53,0.29,0.05,0.11,30%,20%,killjoy,cypher,omen
Soggy,FAWZ,0.96,Americas,vct-challengers,203.5,0.90,55%,124.7,0.74,0.18,0.11,0.24,34%,,jett,neon,
Soldier,GTZ,0.58,EMEA,vct-challengers,149.5,0.55,54%,103.5,0.48,0.14,0.07,0.25,18%,,raze,,
solution,ROSE,0.67,Americas,vct-challengers,145.3,0.64,66%,106.8,0.54,0.23,0.07,0.07,46%,20%,omen,killjoy,
Somethai,2K,0.83,Pacific,vct-challengers,179.0,0.82,56%,122.1,0.65,0.22,0.09,0.16,36%,11%,skye,killjoy,fade
something,PRX,01.08,Pacific,vct-international,219.6,1.12,73%,140.8,0.78,0.23,0.17,0.13,26%,12%,gekko,reyna,jett
sonder,FLY.R,01.01,Americas,vct-game-changer,212.8,0.98,76%,134.7,0.72,0.49,0.11,0.11,25%,15%,skye,kayo,breach
sonofcar,LS,1.24,Americas,vct-challengers,257.6,1.32,75%,171.0,0.94,0.20,0.24,0.13,26%,24%,chamber,raze,jett
